name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand
NEC MultiSync C750Q,12513.0,12513.0,278038.86,75.0,3840.0,2160.0,1.7777777777777777,58.74419120219462,60.0,1200,350.0,IPS,8.0,8.2944,XLarge,4K,0,0,NEC
Asus TUF Gaming VG279Q1R,836.0,1749.0,28719.35,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,144.0,1000,250.0,IPS,4.0,2.0736,Large,FullHD,1,0,Asus
NEC UN552V,13151.0,17853.0,344454.44,55.0,1920.0,1080.0,1.7777777777777777,40.05285763785997,60.0,1700,500.0,IPS,8.0,2.0736,XLarge,FullHD,0,0,NEC
HP 740pm,6022.0,8170.0,157673.12,39.7,5120.0,2160.0,2.3703703703703702,139.9742467450862,60.0,1000,300.0,IPS,5.0,11.0592,XLarge,4K,0,0,HP
Asus TUF Gaming VG27AQM5A,1370.0,1740.0,34552.1,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,300.0,1300,300.0,IPS,1.0,3.6864,Large,QHD,1,0,Asus
Dell Pro Plus P2425,688.0,1012.0,18887.0,24.1,1920.0,1200.0,1.6,93.94835982131056,100.0,1500,300.0,IPS,8.0,2.304,Medium,FullHD,0,0,Dell
Iiyama ProLite TW3226AS-B3P,3225.0,3225.0,71659.5,31.5,1920.0,1080.0,1.7777777777777777,69.9335609549936,60.0,4000,430.0,VA,8.0,2.0736,Large,FullHD,0,0,Iiyama
Eizo FlexScan EV2456,1728.0,2299.0,44739.97,24.0,1920.0,1200.0,1.6,94.33981132056603,60.0,1000,350.0,IPS,5.0,2.304,Medium,FullHD,0,0,Eizo
Acer Nitro XV345CURV3bmiphuzx,1442.0,1712.0,35040.939999999995,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,180.0,1000,300.0,VA,1.0,4.9536,XLarge,QHD,1,0,Acer
Lenovo ThinkVision E24-40,530.0,687.0,13520.869999999999,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,100.0,1300,250.0,IPS,6.0,2.0736,Small,FullHD,0,0,Lenovo
